num;NAME;Gl;Gb;RAJD;DECJD;P0;DM;S1400;R_LUM14;
num;;(deg);(deg);(deg);(deg);(s);(cm^-3pc);(mJy);(mJykpc^2);
1107;J1641+3627D;59.008;40.914;250.420833;36.460278;0.003118;30.60;0.02;1.01e+00;
1108;J1641+3627E;59.008;40.914;250.420833;36.460278;0.002487;30.30;0.01;4.22e-01;
1109;J1641-5317;333.291;-4.557;250.316292;-53.296889;0.175106;*;*;*;
1110;J1641+8049;113.840;31.763;250.336826;80.831365;0.002021;31.09;*;*;
1111;J1643-1224;5.669;21.218;250.909008;-12.416299;0.004622;62.41;4.68;2.56e+00;
1112;J1643+13;30.994;34.291;250.950000;13.416667;1.099100;35.97;*;*;
1113;J1643-4505;339.728;0.547;250.904042;-45.096111;0.237383;478.60;0.45;1.01e+01;
1114;J1643-4522;339.492;0.406;250.835000;-45.366944;1.347899;482.00;0.11;2.35e+00;
1115;J1643-4550;339.115;0.105;250.806333;-45.848472;0.717508;450.80;0.34;6.52e+00;
1116;J1644-44;340.546;1.023;251.150000;-44.166667;0.173911;535.10;0.40;3.62e+01;
1117;B1641-45;339.193;-0.195;251.205304;-45.986031;0.455078;478.80;300.00;6.08e+03;
1118;J1644-46;338.773;-0.393;251.025000;-46.433333;0.250941;405.80;0.80;1.47e+01;
1119;J1644-4657;338.435;-0.808;251.160417;-46.960556;0.125962;718.00;0.59;2.69e+01;
1120;B1642-03;14.114;26.062;251.258502;-3.299394;0.387690;35.76;11.50;1.70e+02;
1121;J1645+1012;27.719;32.548;251.393396;10.204456;0.410861;36.17;*;*;
1122;J1646-2142;358.266;15.116;251.575542;-21.702500;0.005850;29.80;*;*;
1123;J1646-4308;341.603;1.374;251.730417;-43.135278;0.840680;595.00;0.33;8.62e+01;
1124;B1643-43;341.105;0.968;251.713750;-43.777222;0.231603;490.40;1.25;4.85e+01;
1125;J1646-5123;335.276;-3.929;251.651458;-51.387389;0.530075;279.00;0.17;2.05e+01;
1126;B1641-68;321.842;-14.829;251.728333;-68.530833;1.785611;43.00;4.90;7.53e+00;
1127;J1647-3607;347.084;5.773;251.943792;-36.117778;0.212316;224.00;0.20;5.08e+01;
1128;J1647+6608;97.180;37.034;251.885507;66.139512;1.599798;22.55;*;*;
1129;J1648-3256;349.586;7.749;252.025292;-32.944667;0.719455;128.28;0.70;3.17e+01;
1130;J1648-4458;340.349;0.009;252.054167;-44.973889;0.629632;925.00;0.55;1.68e+01;
1131;J1648-4611;339.438;-0.794;252.091750;-46.187778;0.164950;392.30;0.61;1.22e+01;
1132;J1648-6044;328.220;-10.141;252.213458;-60.740417;0.583765;106.20;0.70;2.17e+01;
1133;J1649+2533;45.648;37.107;252.434292;25.551944;1.015257;34.46;*;*;
1134;J1649-3805;345.815;4.194;252.450925;-38.099750;0.262026;213.80;1.60;1.25e+02;
1135;J1649-3935;344.577;3.341;252.277833;-39.595611;0.770910;290.00;0.05;9.06e+00;
1136;J1649-4349;341.360;0.596;252.335083;-43.822833;0.870712;398.60;0.75;1.46e+01;
1137;J1649-4653;339.019;-1.380;252.352083;-46.885833;0.557019;331.00;0.37;9.10e+00;
1138;J1649-4729;338.538;-1.759;252.326125;-47.498056;0.297692;540.20;0.29;5.95e+01;
1139;J1649-5553;332.077;-7.148;252.379583;-55.894444;0.613571;180.40;1.40;1.88e+02;
1140;J1650-1654;2.856;17.234;252.613206;-16.911745;1.749552;43.25;1.10;1.24e+00;
1141;J1650-4126;343.291;1.997;252.554892;-41.442722;0.308918;251.50;0.29;6.88e+00;
1142;J1650-4341;341.623;0.485;252.686167;-43.691889;0.309398;673.00;0.26;7.41e+00;
1143;J1650-4502;340.559;-0.351;252.634583;-45.043694;0.380870;320.20;0.61;9.37e+00;
1144;J1650-4601;339.782;-0.946;252.577583;-46.021833;0.127123;*;*;*;
1145;J1650-4921;337.248;-3.108;252.646250;-49.351078;0.156399;229.30;0.29;8.18e+00;
1146;J1651+14;32.880;33.069;252.750000;14.366667;0.828000;48.00;*;*;
1147;B1648-17;2.810;16.882;252.882303;-17.156141;0.973394;33.46;0.30;2.12e-01;
1148;B1648-42;342.458;0.923;252.953208;-42.769278;0.844081;482.00;21.40;5.79e+02;
1149;J1651-4519;340.506;-0.719;252.988333;-45.319722;0.517443;562.00;0.54;1.38e+01;
1150;B1647-52;335.014;-5.172;252.928958;-52.382944;0.635058;179.10;4.10;1.62e+02;
1151;B1647-528;334.586;-5.514;252.921667;-52.930000;0.890534;164.00;3.30;1.11e+02;
1152;J1651-7642;315.149;-19.953;252.782792;-76.710972;1.755311;80.00;0.70;5.96e+01;
1153;J1652-1400;5.599;18.581;253.069487;-14.007611;0.305447;49.50;0.40;1.44e-01;
1154;B1649-23;357.315;12.454;253.243873;-24.064130;1.703739;68.41;1.60;1.82e+01;
1155;J1652+2651;47.402;36.954;253.012792;26.861222;0.915803;40.80;*;*;
1156;J1652-48;337.954;-3.019;253.225000;-48.750000;0.003785;187.80;2.70;5.20e+01;
1157;J1653-2054;359.969;14.261;253.379292;-20.915306;0.004129;56.56;0.16;1.11e+00;
1158;B1650-38;345.878;3.268;253.415825;-38.639111;0.305037;207.20;2.00;5.92e+01;
1159;J1653-4030;344.422;2.107;253.392625;-40.500389;1.019372;425.00;0.40;1.18e+02;
1160;J1653-4249;342.636;0.629;253.417583;-42.817583;0.612558;416.10;1.50;3.01e+01;
1161;J1653-4315;342.281;0.380;253.373750;-43.250278;0.419280;337.00;0.53;8.48e+00;
1162;J1654-23;357.859;12.552;253.512500;-23.583333;0.545360;74.50;*;*;
1163;J1654-26;355.499;10.601;253.662500;-26.605000;1.623730;129.00;*;*;
1164;J1654-2713;354.972;10.271;253.598448;-27.217102;0.791822;92.31;0.30;7.32e+00;
1165;J1654-3710;347.147;4.018;253.685108;-37.182528;0.939165;302.00;0.22;7.95e+01;
1166;J1654-4140;343.609;1.247;253.597917;-41.673333;1.273945;307.00;0.71;1.54e+01;
1167;J1654-4245;342.761;0.565;253.592000;-42.760833;1.101555;950.00;0.14;1.58e+01;
1168;J1655-3048;352.245;7.880;253.852208;-30.811667;0.542936;154.30;2.20;2.52e+02;
1169;J1655-3844;346.046;2.906;253.911083;-38.735833;1.193439;365.00;0.25;9.06e+01;
1170;J1655+62;91.909;37.181;253.975000;62.033333;0.776200;35.41;*;*;
1171;J1656+00;19.336;25.510;254.170833;0.433333;1.497850;46.90;*;*;
1172;J1656-3621;348.013;4.245;254.137312;-36.366583;0.730134;229.00;0.29;3.34e+01;
1173;J1657+33;55.304;37.148;254.425000;33.050000;1.570200;24.04;*;*;
1174;J1657-4432;341.743;-1.006;254.403042;-44.538889;0.609607;375.30;0.38;7.90e+00;
1175;J1658+36;59.614;37.586;254.600000;36.500000;0.033000;3.05;*;*;
1176;J1658-4306;342.933;-0.214;254.569167;-43.113889;1.166449;845.00;0.80;2.21e+01;
1177;J1658-47;339.742;-2.767;254.600000;-47.200000;0.369365;533.00;0.18;9.87e+01;
1178;J1658-4958;337.602;-4.554;254.728833;-49.982889;0.416874;193.40;1.60;5.97e+01;
